provinsi,jenis,daerah,tahun,periode,gk,jenis_encoded,daerah_encoded,gk_scaled,cluster,PC1,PC2,gk_original
ACEH,MAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,398316.0,0,1,0.6058765261424482,7,0.03084019432738594,0.2602753355104517,398316.0
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047.0,0,2,0.732958512734014,8,0.23677735647525588,1.2353333837847043,418047.0
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126.0,0,2,0.7849931470492165,8,0.2825486895526891,1.2362949047569427,426126.0
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528.0,0,2,0.9292783157494474,8,0.40946655111979646,1.2389610754241156,448528.0
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276.0,0,2,1.1401992471214304,8,0.5949993665201906,1.2428585737282214,481276.0
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917.0,0,0,0.6612732200086516,0,-0.014582868457958864,-0.711410784036797,406917.0
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738.0,0,0,0.7116461467296812,0,0.02972677332921836,-0.7104799688958292,414738.0
ACEH,MAKANAN,PERDESAAN,2022,MARET,434104.0,0,0,0.8363772679263901,0,0.1394442676202906,-0.7081751273129139,434104.0
ACEH,MAKANAN,PERDESAAN,2022,SEPTEMBER,462138.0,0,0,1.0169366117056184,0,0.2982700568878688,-0.7048386650111763,462138.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,MARET,410420.0,0,1,0.6838350870721687,7,0.09941504462683548,0.26171589125348627,410420.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,418296.0,0,1,0.7345622537842041,7,0.1440362872704628,0.26265325221119773,418296.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,MARET,438658.0,0,1,0.8657083391816732,7,0.259396589798337,0.2650766325846008,438658.0
ACEH,MAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,468255.0,0,1,1.0563345394325765,7,0.4270775088592099,0.2685991150967121,468255.0
ACEH,NONMAKANAN,PERKOTAAN,2015,MARET,116717.0,1,2,-1.2078257870803144,1,-1.0041553990837762,0.9681823852343553,116716.99999999997
ACEH,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,118196.0,1,2,-1.198299951685812,1,-0.9957761687803321,0.9683584081973383,118196.0
ACEH,NONMAKANAN,PERKOTAAN,2016,MARET,121727.0,1,2,-1.1755577442632374,1,-0.9757713937962478,0.96877864963229,121727.0
ACEH,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,125719.0,1,2,-1.149846361643323,1,-0.9531548370881016,0.9692537569130396,125719.0
